date,sp500,snp1,sp500Return,snp1Return,top1Ticker,holdingTicker,swapExecuted
2000-01-03,99.698612,100.000000,-0.0030138786,0.0000000000,AAPL,AAPL,0
2000-01-04,99.167821,100.508560,-0.0053239595,0.0050856047,AAPL,AAPL,0
2000-01-05,98.421084,100.956241,-0.0075300348,0.0044541532,AAPL,AAPL,0
2000-01-06,97.477315,101.286691,-0.0095890890,0.0032731991,AAPL,AAPL,0
2000-01-07,96.402151,102.005495,-0.0110298866,0.0070967256,AAPL,AAPL,0
2000-01-10,95.210312,102.612947,-0.0123632044,0.0059550914,AAPL,AAPL,0
2000-01-11,93.958582,103.003222,-0.0131469949,0.0038033684,AAPL,AAPL,0
2000-01-12,92.713342,103.096185,-0.0132530804,0.0009025261,AAPL,AAPL,0
2000-01-13,93.037491,102.565883,0.0034962554,-0.0051437585,AAPL,AAPL,0
2000-01-14,93.445027,102.582563,0.0043803396,0.0001626289,AAPL,AAPL,0
2000-01-17,93.691311,102.733706,0.0026355971,0.0014733809,AAPL,AAPL,0
2000-01-18,96.786617,102.417127,0.0330372838,-0.0030815543,AAPL,AAPL,0
2000-01-19,97.227739,102.002293,0.0045576738,-0.0040504349,AAPL,AAPL,0
2000-01-20,97.615465,102.729637,0.0039878113,0.0071306609,AAPL,AAPL,0
2000-01-21,99.392868,101.293915,0.0182082153,-0.0139757262,AAPL,AAPL,0
2000-01-24,100.725476,99.945653,0.0134074833,-0.0133103947,AAPL,AAPL,0
2000-01-25,103.509761,98.582337,0.0276423054,-0.0136405768,AAPL,AAPL,0
2000-01-26,105.870418,97.188825,0.0228061352,-0.0141355147,AAPL,AAPL,0
2000-01-27,105.930070,96.430604,0.0005634390,-0.0078015215,AAPL,AAPL,0
2000-01-28,105.573929,96.014129,-0.0033620332,-0.0043189119,AAPL,AAPL,0
2000-01-31,104.572772,95.451064,-0.0094830001,-0.0058643912,AAPL,AAPL,0
2000-02-01,103.875119,94.778190,-0.0066714579,-0.0070494198,AAPL,AAPL,0
2000-02-02,103.461105,93.990616,-0.0039856890,-0.0083096567,AAPL,AAPL,0
2000-02-03,103.451158,93.193991,-0.0000961447,-0.0084755808,AAPL,AAPL,0
2000-02-04,103.892040,91.482449,0.0042617473,-0.0183653601,AAPL,AAPL,0
2000-02-07,104.809223,89.592203,0.0088282278,-0.0206623895,AAPL,AAPL,0
2000-02-08,106.235338,87.610285,0.0136067679,-0.0221215515,AAPL,AAPL,0
2000-02-09,108.090520,85.642133,0.0174629496,-0.0224648480,AAPL,AAPL,0
2000-02-10,110.475797,85.247671,0.0220673968,-0.0046059310,AAPL,AAPL,0
2000-02-11,113.446775,85.113927,0.0268925753,-0.0015688899,AAPL,AAPL,0
2000-02-14,112.763327,88.500420,-0.0060243962,0.0397877693,AAPL,AAPL,0
2000-02-15,112.341928,93.006938,-0.0037370173,0.0509208637,AAPL,AAPL,0
2000-02-16,112.167903,96.921791,-0.0015490704,0.0420920448,AAPL,AAPL,0
2000-02-17,112.184092,100.163375,0.0001443260,0.0334453641,AAPL,AAPL,0
2000-02-18,110.760479,101.766174,-0.0126899645,0.0160018482,AAPL,AAPL,0
2000-02-21,109.485197,103.110496,-0.0115138762,0.0132099075,AAPL,AAPL,0
2000-02-22,108.370482,104.110358,-0.0101814198,0.0096969955,AAPL,AAPL,0
2000-02-23,107.477649,104.631584,-0.0082387141,0.0050064800,AAPL,AAPL,0
2000-02-24,106.294898,104.557429,-0.0110046183,-0.0007087270,AAPL,AAPL,0
